Column1;Column2
;
;
12h à 14h;12 tot 14 uur
14h à 16h;14 tot 16 uur
16h à 18h;16 tot 18 uur
18h à 20h;18 tot 20 uur
7h à 9h;7 tot 9 uur
9h à 12h;9 tot 12 uur
À traiter;
Abattage d’arbre;
Accès à la profession;Toegang tot het beroep
Accompagnement;Begeleiding
Achats groupés;
Acoustique;Acoustic
Activité et entreprises;
Adoucisseur;Softlyness
Adresse;Adres
Adresse complète;Adres
Adresse du bien;Adres
Adresse du siège social;Adres
Adresse FR;Adres FR
Adresse NL;Adres NL
Afin d’améliorer notre service, nous réalisons une enquête de satisfaction auprès des personnes qui ont fait appel à nos services. Nous vous remercions d’avance pour votre temps, vos réponses sont essentielles et précieuses pour notre évaluation.;Om onze dienstverlening te verbeteren, voeren we een tevredenheidsenquête uit bij de mensen die van onze diensteverlening hebben genoten. We danken u bij voorbaat voor uw tijd, uw reacties zijn essentieel en waardevol voor de evaluatie van ons werk.
Agencement des greniers;
Agréé;
Agrément amiante;
Aides à l’achat;
Aides financières;
Aides juridiques;
Aides locatives;
Allocation loyer;
Allocation loyer hors délais;
Animal;
Appartements;
Ardoises artificielles;Kunstleien
Ardoises naturelles;Natuurleien
Argile;
ASBL;
Ascenseur;
Aspect à rue;
Assainissement;
Assurances litiges;
Autre;Andere
Autre acoustique;
Autre aides financières;
Autre bâtiment durable;
Autre éléments de façades;
Autre énergie;
Autre logement;
Autre objet du permis;
Autre patrimoine;
Autre petit patrimoine;
Autre raison du permis;
Autre rénovation;
Autres;Anderen
Balcon;
Bardage autre que bois;
Bardage bois;
Bâtiment durable;
Be-exemplary;
Bien classé;
Bio électricité;
Biodiversité;
Blocs type « multipor »;
Boîte;
Briques de parement;
Briquettes;
BuildCircular;
Cadre légal;
Carrelage;
Catégorie de revenus du demandeur;
Ce champ est obligatoire pour valider le formulaire;
Cellulose;
Certaines réponses sont manquantes.;Sommige antwoorden ontbreken.
Certificat;
Certificats verts;
Chanvre;
Charger des fichiers;Bestanden uploaden
Charger les fichiers;
Chassis;
Chauffage;
Chauffage par le sol / les murs;
Chauffage, chaudière et distribution de chaleur;
Chauffe-eau solaire;
Chaux;
Chaux-chanvre;Kalkhennep
Citerne d’eau de pluie;
Citydev;
CLT;
Code civil;
Code postal;Postcode
Commentaires;
Commission de conciliation de la confédération des entreprises;
Connaissance;
Conseils pour mettre fin à l’occupation;
Construction;
Contact;
Contenu;
Coordonnées de l’entreprise;Bedrijfsgegevens
Copropriété (immeuble à appartements);
Copropriétés;
Corniche;
Coton / textile;Katoen/ textiel
Coton/ Textile recyclé;
Couverture/Etanchéité;
Création;
Crédal;
Crépi / enduit;
Date d'introduction;
Date de création de l’entreprise;Oprichtingsdatum van de onderneming
Date d’envoi dossier PVB à BE;
DE;
Début d’après-midi;
Décor peint;
Décors intérieurs;
Demande communale;
Demandes;
Démolition;
Dénomination, sociale ou commerciale, de l’entreprise;Maatschappelijke naam of handelsnaam van de onderneming
Dépôt de documents;
Dépôt de fichiers;
Dernière modification;
Descriptif;
Dimensions écologiques;
Disposer des assurances nécessaires à l'exécution des travaux pour lesquels l’entreprise se porte candidate.;Over de nodige verzekeringen te beschikken voor de uitvoering van de werken waarvoor de onderneming zich kandidaat stelt.
Documents;
Documents et mails;
Domotique;
Double flux (D);
Droit du bail;
Economie circulaire;
Editer le contenu;
Egouts;
Electricité;
Eléments de façades;
Email;
Embellissement façades;
EN;
en bas de page « Privacy »;onderaan de « Privacy »-pagina
En vrac;
Enduisage;
Enduit;
Enduit sur isolant (méthode ETICS);
Enduit/Bardage;
Energie;
Energies renouvelables;
Engagement Code de Bonnes Pratiques;
Enquête acousticiens;
Enquête de satisfaction - Homegrade;Tevredenheidsenquête - Homegrade
Entreprise générale;
Envoyer;Stuur
Envoyer vos résultats;Stuur uw resultaten
EPDM;
ES;
Escaliers;
Etage;
Etre enregistré auprès de la Banque-Carrefour des Entreprises (BCE).;Ingeschreven te zijn bij de Kruispuntbank van Ondernemingen (KBO).
Evénements;
Extensive;
Façades;
Façades anciennes;
Façades vertes;
Facilitateur urbanisme;
Facilitation locataire-propriétaire;
Faibles revenus;
FdL;
Fibres d’herbe;Grasvezels
Fichier;
Fichiers;
Fin d’après-midi;
Finition;
Finition de la salle de bain;
Finitions intérieures;
Fondation;
Formations suivies;
Forme juridique;Vennootschapsvorm
Forme sociale;Vennootschapsvorm
Formulaire du siteweb;
FR;FR
Garantie locative (CPAS, FDL);
Garde-corps en bois;
Général;
Gestes URE;
Gestion des déchets;
Gestion des déchets de chantier (tri, …);Beheer van werfafval (sorteren,…)
Herbe;
Homegrade traite les données personnelles dans le respect de la vie privée, selon le Règlement Général sur la Protection des Données (RGPD).;Homegrade verwerkt de persoonsgegevens met eerbiediging van het privéleven, in overeenstemming met de Algemene Verordening Gegevensbescherming (AVG).
"http://www.ejustice.just.fgov.be/cgi_loi/change_lg.pl?language=fr&amp;la=F&amp;cn=2007012950&amp;table_name=loi";"http://www.ejustice.just.fgov.be/cgi_loi/change_lg.pl?language=nl&amp;la=N&amp;cn=2007012950&amp;table_name=wet"
Humidité;
Impact environnemental;Milieu-impact
Incomplet;
Information/conseil;
Infraction;
Insalubrité;
Installations techniques;
Insufflation;Inblazing
Intensive;
Intérêt pour ce genre de formation ?;
Inventaire ascenseurs;
Isolants biosourcés;
Isolation;
Isolation de façade;
Isolation du toit;
Isolation et pare-vapeur;
Isolation extérieure;
Isolation intérieure;
Isolation murs;
Isolation plancher des greniers;Isolatie zoldervloer
Isolation sol;
Isolation toit;
Jardinet;
Jeudi;
La référence doit être sans accent, caractères spéciaux, ni espace. Une fois encodée, elle ne pourra plus être modifiée.;
Label;Label
Label Construction Quality (CQ-Label);
Label Energiebewuste (EBA-Label);
Labels;
Labels durabilité;
Laine / Fibre de bois;
Laine de bois / fibre de bois;Houtwol/houtvezel
Laine de chanvre;Hennepwol
Laine de lin;Vlaswol
Laine de mouton;
Laine de roche / laine de verre;
Langue;
Langue de contact;Contacttaal
Le candidat entrepreneur déclare;De kandidaat-aannemer verklaart
Le gros-oeuvre (art. 7 à 9 AR 2007);De ruwbouw (art. 7 tot 9 KB 2007)
Les activités de carrelage, du marbre et de la pierre naturelle (art. 13 à 15 AR 2007);De tegel-, marmer- en natuursteenactiviteiten (art. 13 tot 15 KB 2007)
Les activités de finition (art 22 à 24 AR 2007);De eindafwerkingsactiviteiten (art. 22 tot 24 KB 2007)
Les activités de menuiserie et vitrerie (art. 19 à 21 AR 2007);De schrijnwerkers- en glazenmakersactiviteiten (art. 19 tot 21 KB 2007)
Les activités de plafonnage, de cimentage et de pose de chapes (art. 10 à 12 AR 2007);De stukadoor-, cementeer- en dekvloeractiviteiten (art. 10 tot 12 KB 2007)
Les activités de toiture et d'étanchéité (art. 16 à 18 AR 2007);De dakdekkers- en waterdichtingsactiviteiten (art. 16 tot 18 KB 2007)
Les activités d’électrotechnique (art. 28 à 30 AR 2007);De elektrotechnische activiteiten (art. 28 tot 30 KB 2007)
Les activités d’entreprise générale (art. 31 à 33 AR 2007);Algemene aannemingsactiviteiten (art. 31 tot 33 KB 2007)
Les activités d’installation de chauffage central, de climatisation, de gaz et de sanitaire (art. 25 à 27 AR 2007);De installatieactiviteiten voor centrale verwarming, klimaatregeling, gas en sanitair (art. 25 tot 27 KB 2007)
Lesquels ?;Welke ?
Liège;
Limitation des nuisances pour l’environnement;
Lin;
Litiges;
Logement;
Logements AIS;
Logements FdL;
Logements inoccupés;
Logements sociaux (SLRB, SISP);
Loggia;
Lundi;
Maison unifamiliale;
Mardi;
Masquer l'arborescence;
Matériaux d’isolation;
Matériaux écologiques;
Matériaux recyclés;
Matinée;
Membrane PVC;
Membre cluster Ecobuild;Lid cluster Ecobuild
Membre effectif;Effectief lid
Menuiserie intérieure;
Mercredi;
Minéral;
Mitoyenneté;
Mobilier de cuisine;
Modification de destination;
Modification nombre de logements;
Modifier la liste;
Modules;
Mosaïques;
Moulures;
Mousse phénolique / résolique;
Mousse projetée;
Moyen de contact;
Moyen de contact préféré;
Mur;
Murs;
Murs creux;
Murs et planchers;
Murs intérieurs, plaque de plâtre;
Naturelle (A);
NL;
Nom;Naam
Nom et signature, précédé de « lu et approuvé »;Naam en handtekening, voorafgegaan door « gelezen en goedgekeurd »
Nombre de copropriétaires;
Nombre de travailleurs;Aantal werknemers
Non;
Norme NBN S 01-400-1;
Normes incendie;
Normes logements mis en location;
Notes;Notes
Notes internes;
Nous vous remercions d'avoir pris le temps de répondre à notre questionnaire.;Bedankt dat u de tijd hebt genomen om onze vragenlijst te beantwoorden.
Numéro;Nummer
Numéro de l’entreprise (BCE);Ondernemingsnummer
Numéro et boîte;Nummer
Objet du permis;
Objet du PVB;
Organisme de Crédit PVB;
Origine;
Oui;
PAC;
Paille;Stro
Panneaux photovoltaïques;
par;
Par l’extérieur;
Par l’intérieur;
Participation à l’assemblée générale;
Pathologies;
Patrimoine;
Payer correctement ses cotisations de sécurité sociale et respecter scrupuleusement ses obligations fiscales.;Zijn socialezekerheidsbijdragen correct te betalen en zijn fiscale verplichtingen nauwgezet na te komen.
PEB;
Peinture;
Peintures;
Peintures et enduits naturels;
Période de disponibilité;
Perlite / Vermiculite;
Permis;
Petit patrimoine;
Petites copropriétés;
Petites Interventions;
Photovoltaïque;
Piscine;
Planchers;
Plâtre;
Plein gré;
Plomberie;
Plomberies;
Plumes de canard;
Plus d’information sur le site de Homegrade;Meer informatie op de website van Homegrade
PMR;
Polystyrène (EPS/XPS);
Polyuréthane (PUR/PIR);
Pompe à chaleur;
Porte;
Prénom;Voornaam
Prêt vert;
Prêt vert bruxellois;
Procédure et service DIRL;
Production ECS;
Produits et matériaux labellisés;
Profil;
Projet BuildCircular de la Confédération de la Construction;Project BuildCircular van de Confederatie Bouw
Puit;
Puits de lumière, dômes, lucarnes;
Raison du permis;
Rechercher une adresse via Brugis;
Récupération;
Récupération d’eau de pluie;
Réemploi des matériaux;Hergebruik van materialen
Référence;
Référence du modèle;
Référence du sujet;
Refusé;
Règlement Régional d’Urbanisme;
Réglementation;
Régularisation;
Relief du jardin;
Rénovation;
Rénovation citerne d’eau de pluie;
Rénovation de cheminées;
Rénovation et construction circulaire;
Renvoi vers autre structure;
Répertoire des métiers;
Rescert;
Respecter la charte d’engagement.;Het verbintenishandvest na te leven.
Retiré;
Revenus moyens;
Revêtement;
Revêtement de toiture;Dakbedekking
Rigide;
Roofing;
Rue;Straat
SA;
Salutations début;
Salutations fin;
Sanctions régionales / communales;
Sélectionner un fichier;
Semi-rigide;
Semi-rigide/rigide;
Sgraffites;
Simple flux (B,C);
Simple flux centralisé (B,C);
Site web;Website
Soirée;
Sol;
Souple;
Source de l'inscription;
SRL;
Stabilité;
Statut de la fiche;
Structure;Structuur
Structure d’accueil spécialisée;
Structures;
Subvention bien classé;
Subvention petit patrimoine;
Sujet;
Surchauffe;
Synthétique;
Téléphone;Telefoon
Temps de midi;
Terrasse;
Thermique;
Toit;
Toiture inclinée;Hellend dak
Toiture Jardin;
Toiture plate;Plat dak
Toiture verte;
Tôt le matin;
Travaux;Werkenen
Travaux de façades;
Travaux de toiture;Dak werken
"Travaux de toiture &gt; Toiture inclinée";
"Travaux de toiture &gt; Toiture inclinée &gt; Isolation et pare-vapeur";
"Travaux de toiture &gt; Toiture inclinée &gt; Isolation et pare-vapeur &gt; Isolation intérieure";
"Travaux de toiture &gt; Toiture inclinée &gt; Structure";
Travaux intérieurs et de finition;
Travaux structurels;
Travaux techniques;
Tuiles;Dakpannen
Type;
Type de bâtiment;
Type de demande;
Type de la demande;
Type de logement;
Type de projet;
Type de travaux;Type van werken
Urbanisme;
Utilisation d’isolants biosourcés;Gebruik van biobased isolatiematerialen
Utilisation d’isolants recyclés;Gebruik van gerecycleerde isolatiematerialen
Végétal;
Vendredi;
Vente;
Ventilation;
Vérifier les accès à la profession de l’entreprise;Controleer de toegang tot het beroep van de onderneming
Verre cellulaire;
Veuillez encoder le nom de la rue et le numéro. Le système va alors rechercher sur Brugis les correspondances en français et néerlandais. Le numéro de la boîte doit être encodé séparément.;
Veuillez encoder le nom de la rue puis le numéro. Le système va alors rechercher sur Brugis les correspondances en français et néerlandais.;
Ville;Stad
Visite;
Vitraux;
Voir l'arborescence;
Votre demande;
Zinc;Zink
Zone de rec;
